SeqVars,N,Run,Solver,Policy,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars,TabulationTime,SolverSolveTime,SolverSolutionsFound,SolverSetupTime
2,10,2,cadmdd,notab,0.0,0.02,3151.0,0.0,0.2,1.0,0.0,0.0,3470.0,575.0,,,,
2,12,3,gecode,notab,,0.636,,0.0,0.093,1.0,0.0,0.0,44094.0,,,,,
2,10,1,minion,tab,,0.012008,,0.0,0.112,1.0,0.0,0.0,227.0,,0.032,0.002487,5.0,0.000936
2,10,3,chuffed,notab,,0.05,,0.0,0.172,1.0,0.0,0.0,520.0,,,,,
2,12,5,cadical,tab,0.0,0.04,13126.0,0.0,0.29,1.0,0.0,0.0,514.0,4314.0,0.066,,,
2,10,1,chuffed,tab,,0.01,,0.0,0.132,1.0,0.0,0.0,180.0,,0.034,,,
2,12,3,chuffed,tab,,0.032,,0.0,0.181,1.0,0.0,0.0,240.0,,0.053,,,
2,10,5,cadical,notab,0.0,0.02,3151.0,0.0,0.187,1.0,0.0,0.0,3470.0,575.0,,,,
2,12,2,minicon,tab,,0.019787,,0.0,0.148,1.0,0.0,0.0,381.0,,0.041,0.005012,6.0,0.0
2,10,5,cadmdd,tab,0.0,0.01,7604.0,0.0,0.249,1.0,0.0,0.0,346.0,320.0,0.034,,,
2,12,1,cadmdd,notab,0.0,0.06,5021.0,0.0,0.259,1.0,0.0,0.0,9961.0,765.0,,,,
2,10,3,minion,tab,,0.014259,,0.0,0.136,1.0,0.0,0.0,227.0,,0.036,0.00264,5.0,0.001128
2,12,1,minion,tab,,0.03028,,0.0,0.171,1.0,0.0,0.0,519.0,,0.047,0.00984,6.0,0.000973
2,10,4,chuffed,notab,,0.053,,0.0,0.192,1.0,0.0,0.0,520.0,,,,,
2,10,3,minion,notab,,0.015956,,0.0,0.101,1.0,0.0,0.0,6012.0,,,0.015318,5.0,0.000101
2,12,3,minicon,tab,,0.022131,,0.0,0.145,1.0,0.0,0.0,381.0,,0.033,0.00521,6.0,0.001555
2,10,1,gecode,notab,,0.06,,0.0,0.115,1.0,0.0,0.0,5944.0,,,,,
2,10,1,cadical,notab,0.0,0.02,3151.0,0.0,0.205,1.0,0.0,0.0,3470.0,575.0,,,,
2,10,3,cadmdd,tab,0.0,0.01,7604.0,0.0,0.241,1.0,0.0,0.0,346.0,320.0,0.027,,,
2,12,1,chuffed,tab,,0.024,,0.0,0.197,1.0,0.0,0.0,240.0,,0.061,,,
2,12,1,gecode,notab,,0.35,,0.0,0.111,1.0,0.0,0.0,44094.0,,,,,
2,10,2,minicon,tab,,0.014064,,0.0,0.14,1.0,0.0,0.0,187.0,,0.031,0.002555,5.0,0.001126
2,10,5,chuffed,tab,,0.014,,0.0,0.151,1.0,0.0,0.0,180.0,,0.038,,,
2,12,5,cadical,notab,0.0,0.06,5021.0,0.0,0.239,1.0,0.0,0.0,9961.0,765.0,,,,
2,12,2,cadical,tab,0.0,0.05,13126.0,0.0,0.26,1.0,0.0,0.0,514.0,4314.0,0.054,,,
2,10,5,gecode,tab,,0.048,,0.0,0.123,1.0,0.0,0.0,434.0,,0.034,,,
2,10,2,minicon,notab,,0.028781,,0.0,0.11,1.0,0.0,0.0,10857.0,,,0.028618,5.0,0.0
2,10,2,cadical,tab,0.0,0.0,6869.0,0.0,0.209,1.0,0.0,0.0,53.0,2260.0,0.033,,,
2,12,5,cadmdd,tab,0.0,0.03,14182.0,0.0,0.294,1.0,0.0,0.0,808.0,414.0,0.062,,,
2,12,1,gecode,tab,,0.187,,0.0,0.167,1.0,0.0,0.0,1012.0,,0.057,,,
2,10,5,cadical,tab,0.0,0.0,6869.0,0.0,0.215,1.0,0.0,0.0,53.0,2260.0,0.041,,,
2,12,2,minicon,notab,,0.166572,,0.0,0.111,1.0,0.0,0.0,77680.0,,,0.166408,6.0,0.0
2,10,1,cadmdd,notab,0.0,0.02,3151.0,0.0,0.175,1.0,0.0,0.0,3470.0,575.0,,,,
2,10,2,minion,tab,,0.015084,,0.0,0.143,1.0,0.0,0.0,227.0,,0.027,0.00354,5.0,0.000296
2,12,1,cadmdd,tab,0.0,0.04,14182.0,0.0,0.301,1.0,0.0,0.0,808.0,414.0,0.066,,,
2,12,5,gecode,notab,,0.247,,0.0,0.119,1.0,0.0,0.0,44094.0,,,,,
2,10,5,minion,notab,,0.015878,,0.0,0.093,1.0,0.0,0.0,6012.0,,,0.01543,5.0,0.000277
2,12,4,gecode,tab,,0.062,,0.0,0.163,1.0,0.0,0.0,1012.0,,0.059,,,
2,12,4,minicon,notab,,0.202812,,0.0,0.111,1.0,0.0,0.0,77680.0,,,0.202623,6.0,0.0
2,10,2,chuffed,notab,,0.05,,0.0,0.196,1.0,0.0,0.0,520.0,,,,,
2,10,3,cadmdd,notab,0.0,0.02,3151.0,0.0,0.234,1.0,0.0,0.0,3470.0,575.0,,,,
2,12,2,minion,notab,,0.114733,,0.0,0.094,1.0,0.0,0.0,43964.0,,,0.114103,6.0,0.0
2,12,5,gecode,tab,,0.057,,0.0,0.156,1.0,0.0,0.0,1012.0,,0.056,,,
2,10,4,minion,notab,,0.015428,,0.0,0.092,1.0,0.0,0.0,6012.0,,,0.01543,5.0,0.0
2,12,2,chuffed,tab,,0.055,,0.0,0.128,1.0,0.0,0.0,240.0,,0.039,,,
2,12,4,chuffed,tab,,0.027,,0.0,0.168,1.0,0.0,0.0,240.0,,0.053,,,
2,10,5,cadmdd,notab,0.0,0.02,3151.0,0.0,0.245,1.0,0.0,0.0,3470.0,575.0,,,,
2,12,5,cadmdd,notab,0.0,0.06,5021.0,0.0,0.233,1.0,0.0,0.0,9961.0,765.0,,,,
2,10,4,cadical,tab,0.0,0.0,6869.0,0.0,0.25,1.0,0.0,0.0,53.0,2260.0,0.027,,,
2,12,3,cadmdd,notab,0.0,0.06,5021.0,0.0,0.245,1.0,0.0,0.0,9961.0,765.0,,,,
2,10,4,cadmdd,tab,0.0,0.01,7604.0,0.0,0.22,1.0,0.0,0.0,346.0,320.0,0.042,,,
2,12,1,chuffed,notab,,0.183,,0.0,0.226,1.0,0.0,0.0,1437.0,,,,,
2,12,4,minion,tab,,0.032163,,0.0,0.169,1.0,0.0,0.0,519.0,,0.065,0.009846,6.0,0.001982
2,12,1,minicon,tab,,0.028351,,0.0,0.199,1.0,0.0,0.0,381.0,,0.057,0.005621,6.0,0.001899
2,12,4,chuffed,notab,,0.176,,0.0,0.231,1.0,0.0,0.0,1437.0,,,,,
2,10,3,minicon,notab,,0.02988,,0.0,0.096,1.0,0.0,0.0,10857.0,,,0.029881,5.0,0.0
2,12,5,chuffed,tab,,0.023,,0.0,0.152,1.0,0.0,0.0,240.0,,0.061,,,
2,12,4,cadmdd,notab,0.0,0.06,5021.0,0.0,0.246,1.0,0.0,0.0,9961.0,765.0,,,,
2,10,3,cadical,tab,0.0,0.0,6869.0,0.0,0.204,1.0,0.0,0.0,53.0,2260.0,0.043,,,
2,10,3,gecode,tab,,0.042,,0.0,0.128,1.0,0.0,0.0,434.0,,0.042,,,
2,12,2,gecode,tab,,0.248,,0.0,0.128,1.0,0.0,0.0,1012.0,,0.032,,,
2,12,5,minicon,tab,,0.025409,,0.0,0.185,1.0,0.0,0.0,381.0,,0.054,0.006185,6.0,0.001215
2,12,1,cadical,tab,0.0,0.04,13126.0,0.0,0.316,1.0,0.0,0.0,514.0,4314.0,0.07,,,
2,12,4,cadical,tab,0.0,0.04,13126.0,0.0,0.272,1.0,0.0,0.0,514.0,4314.0,0.064,,,
2,12,4,gecode,notab,,0.244,,0.0,0.117,1.0,0.0,0.0,44094.0,,,,,
2,12,4,cadical,notab,0.0,0.06,5021.0,0.0,0.227,1.0,0.0,0.0,9961.0,765.0,,,,
2,10,4,chuffed,tab,,0.015,,0.0,0.126,1.0,0.0,0.0,180.0,,0.041,,,
2,12,3,minion,tab,,0.024821,,0.0,0.142,1.0,0.0,0.0,519.0,,0.055,0.006397,6.0,0.001684
2,12,4,minion,notab,,0.113054,,0.0,0.108,1.0,0.0,0.0,43964.0,,,0.113057,6.0,0.0
2,10,3,minicon,tab,,0.01172,,0.0,0.139,1.0,0.0,0.0,187.0,,0.048,0.001462,5.0,0.001131
2,10,3,chuffed,tab,,0.009,,0.0,0.127,1.0,0.0,0.0,180.0,,0.04,,,
2,10,4,minion,tab,,0.013719,,0.0,0.145,1.0,0.0,0.0,227.0,,0.029,0.00329,5.0,0.00124
2,12,4,minicon,tab,,0.026201,,0.0,0.16,1.0,0.0,0.0,381.0,,0.047,0.006465,6.0,0.000979
2,10,4,gecode,tab,,0.041,,0.0,0.119,1.0,0.0,0.0,434.0,,0.034,,,
2,10,4,cadical,notab,0.0,0.02,3151.0,0.0,0.213,1.0,0.0,0.0,3470.0,575.0,,,,
2,12,1,minicon,notab,,0.216784,,0.0,0.092,1.0,0.0,0.0,77680.0,,,0.215939,6.0,0.000187
2,12,1,minion,notab,,0.116212,,0.0,0.086,1.0,0.0,0.0,43964.0,,,0.116215,6.0,0.0
2,10,2,cadmdd,tab,0.0,0.01,7604.0,0.0,0.228,1.0,0.0,0.0,346.0,320.0,0.03,,,
2,12,2,cadical,notab,0.0,0.05,5021.0,0.0,0.192,1.0,0.0,0.0,9961.0,765.0,,,,
2,12,3,cadmdd,tab,0.0,0.04,14182.0,0.0,0.312,1.0,0.0,0.0,808.0,414.0,0.07,,,
2,10,1,cadical,tab,0.0,0.01,6869.0,0.0,0.203,1.0,0.0,0.0,53.0,2260.0,0.022,,,
2,10,1,gecode,tab,,0.321,,0.0,0.136,1.0,0.0,0.0,434.0,,0.034,,,
2,10,2,gecode,tab,,0.036,,0.0,0.122,1.0,0.0,0.0,434.0,,0.039,,,
2,10,1,minicon,notab,,0.027197,,0.0,0.091,1.0,0.0,0.0,10857.0,,,0.026281,5.0,0.00025
2,10,5,chuffed,notab,,0.041,,0.0,0.166,1.0,0.0,0.0,520.0,,,,,
2,12,3,cadical,notab,0.0,0.06,5021.0,0.0,0.251,1.0,0.0,0.0,9961.0,765.0,,,,
2,10,4,cadmdd,notab,0.0,0.02,3151.0,0.0,0.201,1.0,0.0,0.0,3470.0,575.0,,,,
2,10,5,minicon,notab,,0.028426,,0.0,0.118,1.0,0.0,0.0,10857.0,,,0.028296,5.0,4e-05
2,12,3,minion,notab,,0.087703,,0.0,0.107,1.0,0.0,0.0,43964.0,,,0.087704,6.0,0.0
2,12,1,cadical,notab,0.0,0.06,5021.0,0.0,0.257,1.0,0.0,0.0,9961.0,765.0,,,,
2,10,5,gecode,notab,,0.09,,0.0,0.096,1.0,0.0,0.0,5944.0,,,,,
2,10,2,minion,notab,,0.016614,,0.0,0.112,1.0,0.0,0.0,6012.0,,,0.016616,5.0,0.0
2,10,2,chuffed,tab,,0.011,,0.0,0.13,1.0,0.0,0.0,180.0,,0.033,,,
2,12,2,cadmdd,tab,0.0,0.04,14182.0,0.0,0.343,1.0,0.0,0.0,808.0,414.0,0.084,,,
2,10,5,minicon,tab,,0.011582,,0.0,0.135,1.0,0.0,0.0,187.0,,0.037,0.00138,5.0,0.001092
2,12,5,minion,notab,,0.114016,,0.0,0.104,1.0,0.0,0.0,43964.0,,,0.114018,6.0,0.0
2,10,3,gecode,notab,,0.094,,0.0,0.125,1.0,0.0,0.0,5944.0,,,,,
2,10,4,minicon,tab,,0.012405,,0.0,0.118,1.0,0.0,0.0,187.0,,0.032,0.002247,5.0,0.001094
2,12,5,chuffed,notab,,0.134,,0.0,0.172,1.0,0.0,0.0,1437.0,,,,,
2,12,5,minion,tab,,0.03033,,0.0,0.16,1.0,0.0,0.0,519.0,,0.051,0.008625,6.0,0.000953
2,12,3,chuffed,notab,,0.171,,0.0,0.219,1.0,0.0,0.0,1437.0,,,,,
2,12,2,cadmdd,notab,0.0,0.06,5021.0,0.0,0.196,1.0,0.0,0.0,9961.0,765.0,,,,
2,12,3,minicon,notab,,0.165421,,0.0,0.083,1.0,0.0,0.0,77680.0,,,0.16454,6.0,0.000279
2,10,4,minicon,notab,,0.02695,,0.0,0.099,1.0,0.0,0.0,10857.0,,,0.026029,5.0,0.000271
2,10,3,cadical,notab,0.0,0.02,3151.0,0.0,0.204,1.0,0.0,0.0,3470.0,575.0,,,,
2,10,2,gecode,notab,,0.088,,0.0,0.103,1.0,0.0,0.0,5944.0,,,,,
2,12,2,minion,tab,,0.024699,,0.0,0.131,1.0,0.0,0.0,519.0,,0.041,0.008021,6.0,0.000736
2,10,1,minicon,tab,,0.009452,,0.0,0.132,1.0,0.0,0.0,187.0,,0.018,0.002012,5.0,0.0
2,10,2,cadical,notab,0.0,0.02,3151.0,0.0,0.186,1.0,0.0,0.0,3470.0,575.0,,,,
2,10,4,gecode,notab,,0.136,,0.0,0.092,1.0,0.0,0.0,5944.0,,,,,
2,12,2,chuffed,notab,,0.178,,0.0,0.215,1.0,0.0,0.0,1437.0,,,,,
2,10,1,cadmdd,tab,0.0,0.02,7604.0,0.0,0.194,1.0,0.0,0.0,346.0,320.0,0.015,,,
2,10,5,minion,tab,,0.015358,,0.0,0.129,1.0,0.0,0.0,227.0,,0.023,0.003273,5.0,0.001196
2,12,2,gecode,notab,,0.269,,0.0,0.093,1.0,0.0,0.0,44094.0,,,,,
2,10,1,minion,notab,,0.012768,,0.0,0.079,1.0,0.0,0.0,6012.0,,,0.011988,5.0,0.000221
2,10,1,chuffed,notab,,0.036,,0.0,0.142,1.0,0.0,0.0,520.0,,,,,
2,12,3,gecode,tab,,0.255,,0.0,0.138,1.0,0.0,0.0,1012.0,,0.049,,,
2,12,5,minicon,notab,,0.214018,,0.0,0.106,1.0,0.0,0.0,77680.0,,,0.21299,6.0,0.000308
2,12,4,cadmdd,tab,0.0,0.03,14182.0,0.0,0.312,1.0,0.0,0.0,808.0,414.0,0.065,,,
2,12,3,cadical,tab,0.0,0.04,13126.0,0.0,0.274,1.0,0.0,0.0,514.0,4314.0,0.073,,,
3,12,2,gecode,notab,,0.311,,0.0,0.117,1.0,0.0,0.0,44094.0,,,,,
3,10,5,cadmdd,notab,0.0,0.02,3469.0,0.0,0.25,1.0,0.0,0.0,3641.0,632.0,,,,
3,10,5,cadmdd,tab,0.0,0.08,65534.0,0.0,0.597,1.0,0.0,0.0,298.0,470.0,0.129,,,
3,10,1,minicon,notab,,0.054194,,0.0,0.109,1.0,0.0,0.0,10377.0,,,0.053563,5.0,0.000198
3,10,3,cadical,notab,0.0,0.02,3469.0,0.0,0.254,1.0,0.0,0.0,3641.0,632.0,,,,
3,10,2,gecode,notab,,0.084,,0.0,0.117,1.0,0.0,0.0,5944.0,,,,,
3,10,5,minion,notab,,0.032698,,0.0,0.109,1.0,0.0,0.0,6231.0,,,0.032092,5.0,0.0
3,10,4,chuffed,tab,,0.052,,0.0,0.307,1.0,0.0,0.0,86.0,,0.106,,,
3,10,2,cadmdd,notab,0.0,0.02,3469.0,0.0,0.249,1.0,0.0,0.0,3641.0,632.0,,,,
3,10,4,chuffed,notab,,0.061,,0.0,0.17,1.0,0.0,0.0,646.0,,,,,
3,10,4,minicon,tab,,0.110192,,0.0,0.287,1.0,0.0,0.0,63.0,,0.108,0.001727,5.0,0.008099
3,10,1,minicon,tab,,0.117341,,0.0,0.32,1.0,0.0,0.0,63.0,,0.119,0.002565,5.0,0.009753
